DistID,District,Bedrooms,Bathrooms,Price,Size,Url
4,Salamanca,4,4,1200000,203,http://www.idealista.com/35119464
9,Moncloa,5,5,695000,230,http://www.idealista.com/34960109
9,Moncloa,6,4,1780000,700,http://www.idealista.com/34936964
3,Retiro,3,2,1890000,220,http://www.idealista.com/34868534
5,Chamartín,6,7,6300000,723,http://www.idealista.com/34672229
7,Chamberí,4,5,2800000,343,http://www.idealista.com/34563446
5,Chamartín,3,2,935000,195,http://www.idealista.com/34242142
9,Moncloa,8,8,3600000,840,http://www.idealista.com/33529784
7,Chamberí,5,5,2595000,629,http://www.idealista.com/33159412
9,Moncloa,6,6,3150000,1150,http://www.idealista.com/33146820
5,Chamartín,9,3,6000000,848,http://www.idealista.com/32718558
9,Moncloa,4,5,950000,220,http://www.idealista.com/31299616
4,Salamanca,5,2,3150000,418,http://www.idealista.com/30844961
7,Chamberí,2,2,1950000,340,http://www.idealista.com/30585968
9,Moncloa,4,4,1250000,170,http://www.idealista.com/30508893
4,Salamanca,3,4,2500000,252,http://www.idealista.com/30375695
9,Moncloa,5,5,1450000,540,http://www.idealista.com/29185095
6,Tetuán,4,3,1295000,250,http://www.idealista.com/27982165
9,Moncloa,7,7,1800000,550,http://www.idealista.com/887968
5,Chamartín,4,3,1150000,282,http://www.idealista.com/37266648
16,Hortaleza,4,4,2690000,741,http://www.idealista.com/38519902
5,Chamartín,3,3,440000,128,http://www.idealista.com/37300256
5,Chamartín,4,4,4500000,500,http://www.idealista.com/30227340
4,Salamanca,4,5,2100000,320,http://www.idealista.com/38864783
7,Chamberí,4,4,1575000,207,http://www.idealista.com/38871061
4,Salamanca,4,3,2000000,372,http://www.idealista.com/38863638
1,Centro,4,2,680000,167,http://www.idealista.com/38820228
1,Centro,4,5,1565000,240,http://www.idealista.com/38799965
7,Chamberí,3,2,620000,112,http://www.idealista.com/38779969
5,Chamartín,2,2,1950000,224,http://www.idealista.com/38715334
16,Hortaleza,4,4,1230000,277,http://www.idealista.com/38697893
15,Ciudad Lineal,4,3,975000,243,http://www.idealista.com/38695972
1,Centro,2,2,550000,70,http://www.idealista.com/38690690
4,Salamanca,4,2,1375000,249,http://www.idealista.com/38680219
7,Chamberí,4,3,690000,140,http://www.idealista.com/38677234
15,Ciudad Lineal,4,3,1150000,192,http://www.idealista.com/38620464
16,Hortaleza,7,7,5750000,1150,http://www.idealista.com/34007308
4,Salamanca,3,2,1200000,173,http://www.idealista.com/38129152
16,Hortaleza,4,4,2400000,380,http://www.idealista.com/38128961
5,Chamartín,3,3,850000,142,http://www.idealista.com/37906040
16,Hortaleza,5,5,1700000,400,http://www.idealista.com/37806288
9,Moncloa,8,6,7000000,698,http://www.idealista.com/37547602
7,Chamberí,4,4,1790000,223,http://www.idealista.com/37492673
16,Hortaleza,6,5,3000000,800,http://www.idealista.com/37462750
16,Hortaleza,3,2,675000,136,http://www.idealista.com/37453723
16,Hortaleza,5,4,1350000,341,http://www.idealista.com/37188371
16,Hortaleza,6,6,1445000,431,http://www.idealista.com/37142668
15,Ciudad Lineal,5,4,785000,296,http://www.idealista.com/37023045
16,Hortaleza,5,5,1275000,401,http://www.idealista.com/36951319
1,Centro,3,2,560000,170,http://www.idealista.com/36937597
9,Moncloa,5,4,930000,390,http://www.idealista.com/36867312
16,Hortaleza,4,5,1985000,550,http://www.idealista.com/544129
15,Ciudad Lineal,4,4,1150000,325,http://www.idealista.com/34750329
16,Hortaleza,4,5,1900000,650,http://www.idealista.com/33754375
16,Hortaleza,4,3,860000,304,http://www.idealista.com/33562252
8,Fuencarral,4,3,690000,190,http://www.idealista.com/29658348
9,Moncloa,5,5,2500000,861,http://www.idealista.com/29320673
9,Moncloa,5,5,2200000,800,http://www.idealista.com/28417331
9,Moncloa,6,6,2150000,800,http://www.idealista.com/976155
9,Moncloa,6,6,3700000,800,http://www.idealista.com/28240211
16,Hortaleza,5,5,3050000,600,http://www.idealista.com/27317758
16,Hortaleza,6,6,2700000,528,http://www.idealista.com/940819
5,Chamartín,4,4,2650000,450,http://www.idealista.com/35640447
5,Chamartín,6,5,3850000,412,http://www.idealista.com/34764017
5,Chamartín,6,6,1990000,573,http://www.idealista.com/32166718
9,Moncloa,2,2,620000,162,http://www.idealista.com/38281834
4,Salamanca,3,2,849000,129,http://www.idealista.com/37278698
4,Salamanca,5,3,720000,206,http://www.idealista.com/36419942
7,Chamberí,4,4,2800000,324,http://www.idealista.com/28263742
7,Chamberí,4,2,665000,153,http://www.idealista.com/38648497
8,Fuencarral,3,3,625000,245,http://www.idealista.com/38578873
7,Chamberí,5,5,4950000,772,http://www.idealista.com/38576124
5,Chamartín,2,2,990000,198,http://www.idealista.com/38533756
1,Centro,3,3,1050000,167,http://www.idealista.com/38516810
1,Centro,2,2,730000,140,http://www.idealista.com/38425625
4,Salamanca,3,2,1100000,170,http://www.idealista.com/38382982
3,Retiro,2,1,389000,92,http://www.idealista.com/38266927
4,Salamanca,2,2,650000,94,http://www.idealista.com/38244612
1,Centro,5,3,1150000,207,http://www.idealista.com/38231510
1,Centro,2,2,650000,99,http://www.idealista.com/38157366
1,Centro,2,2,890000,108,http://www.idealista.com/38111324
8,Fuencarral,5,4,1055000,300,http://www.idealista.com/38106573
5,Chamartín,6,3,1250000,286,http://www.idealista.com/37995087
9,Moncloa,5,5,1700000,323,http://www.idealista.com/37904716
7,Chamberí,4,5,1795000,317,http://www.idealista.com/37694571
